Operación nº,Tipo,Fecha y hora,Señal,Precio USD,Tamaño de la posición (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
1,Salida en corto,2012-06-22 20:45,Exit,1570.92,52,81189.16,-498.68,-0.61,166.4,0.20,-498.68,-0.61,-498.68,-0.50
1,Entrada en corto,2012-06-22 15:45,Short,1561.33,52,81189.16,-498.68,-0.61,166.4,0.20,-498.68,-0.61,-498.68,-0.50
2,Salida en largo,2012-07-23 07:00,Exit,1574.59,43.4,68838.91,-501.7,-0.73,18.66,0.03,-501.7,-0.73,-1000.38,-1.00
2,Entrada en largo,2012-07-20 19:15,Long,1586.15,43.4,68838.91,-501.7,-0.73,18.66,0.03,-501.7,-0.73,-1000.38,-1.00
3,Salida en largo,2012-08-31 16:00,Exit,1677.27,46.6,76666.32,1494.46,1.95,1494.46,1.95,-53.12,-0.07,494.08,0.49
3,Entrada en largo,2012-08-22 19:15,Long,1645.2,46.6,76666.32,1494.46,1.95,1494.46,1.95,-53.12,-0.07,494.08,0.49
4,Salida en largo,2012-09-05 09:30,Exit,1688.14,55.6,94363.764,-503.18,-0.53,63.38,0.07,-503.18,-0.53,-9.1,-0.01
4,Entrada en largo,2012-09-04 15:15,Long,1697.19,55.6,94363.764,-503.18,-0.53,63.38,0.07,-503.18,-0.53,-9.1,-0.01
5,Salida en largo,2012-10-15 00:00,Exit,1745.22,40.1,70875.547,-892.22,-1.26,477.59,0.67,-892.22,-1.26,-901.33,-0.90
5,Entrada en largo,2012-09-18 14:45,Long,1767.47,40.1,70875.547,-892.22,-1.26,477.59,0.67,-892.22,-1.26,-901.33,-0.90
6,Salida en largo,2012-11-15 15:30,Exit,1712.74,46.2,79619.694,-491.11,-0.62,710.56,0.89,-491.11,-0.62,-1392.43,-1.39
6,Entrada en largo,2012-11-08 17:30,Long,1723.37,46.2,79619.694,-491.11,-0.62,710.56,0.89,-491.11,-0.62,-1392.43,-1.39
7,Salida en corto,2012-12-18 02:15,Exit,1699.82,55.5,93843.84,-496.17,-0.53,239.76,0.26,-496.17,-0.53,-1888.6,-1.89
7,Entrada en corto,2012-12-17 02:00,Short,1690.88,55.5,93843.84,-496.17,-0.53,239.76,0.26,-496.17,-0.53,-1888.6,-1.89
8,Salida en corto,2013-04-17 15:00,Exit,1393.49,18.4,25140.288,-499.93,-1.99,71.21,0.28,-499.93,-1.99,-2388.53,-2.39
8,Entrada en corto,2013-04-16 20:00,Short,1366.32,18.4,25140.288,-499.93,-1.99,71.21,0.28,-499.93,-1.99,-2388.53,-2.39
9,Salida en corto,2013-04-24 13:45,Exit,1432.75,28.5,40340.325,-493.05,-1.22,302.39,0.75,-493.05,-1.22,-2881.58,-2.88
9,Entrada en corto,2013-04-23 07:30,Short,1415.45,28.5,40340.325,-493.05,-1.22,302.39,0.75,-493.05,-1.22,-2881.58,-2.88
10,Salida en largo,2013-05-01 14:30,Exit,1449.18,34,49773.28,-501.16,-1.01,553.18,1.11,-501.16,-1.01,-3382.74,-3.38
10,Entrada en largo,2013-04-29 00:15,Long,1463.92,34,49773.28,-501.16,-1.01,553.18,1.11,-501.16,-1.01,-3382.74,-3.38
11,Salida en largo,2013-05-07 02:15,Exit,1462.49,40.4,59586.364,-501.77,-0.84,159.58,0.27,-501.77,-0.84,-3884.51,-3.88
11,Entrada en largo,2013-05-06 01:45,Long,1474.91,40.4,59586.364,-501.77,-0.84,159.58,0.27,-501.77,-0.84,-3884.51,-3.88
12,Salida en corto,2013-05-14 01:30,Exit,1439.07,47.1,67281.408,-498.79,-0.74,74.42,0.11,-498.79,-0.74,-4383.3,-4.38
12,Entrada en corto,2013-05-13 10:45,Short,1428.48,47.1,67281.408,-498.79,-0.74,74.42,0.11,-498.79,-0.74,-4383.3,-4.38
13,Salida en corto,2013-05-15 15:30,Exit,1400.04,66.9,95159.229,1496.55,1.57,1496.55,1.57,-157.88,-0.17,-2886.74,-2.89
13,Entrada en corto,2013-05-15 07:00,Short,1422.41,66.9,95159.229,1496.55,1.57,1496.55,1.57,-157.88,-0.17,-2886.74,-2.89
14,Salida en corto,2013-05-17 20:30,Exit,1358.12,57.4,79458.246,1502.16,1.89,1502.16,1.89,-241.08,-0.30,-1384.59,-1.38
14,Entrada en corto,2013-05-17 02:30,Short,1384.29,57.4,79458.246,1502.16,1.89,1502.16,1.89,-241.08,-0.30,-1384.59,-1.38
15,Salida en largo,2013-05-22 15:30,Exit,1387.37,41.8,57991.648,0.42,0.00,1132.36,1.95,-224.88,-0.39,-1384.17,-1.38
15,Entrada en largo,2013-05-22 08:00,Long,1387.36,41.8,57991.648,0.42,0.00,1132.36,1.95,-224.88,-0.39,-1384.17,-1.38
16,Salida en largo,2013-05-31 02:15,Exit,1420.14,31.5,43244.775,1489.64,3.44,1489.64,3.44,-83.47,-0.19,105.47,0.11
16,Entrada en largo,2013-05-23 05:45,Long,1372.85,31.5,43244.775,1489.64,3.44,1489.64,3.44,-83.47,-0.19,105.47,0.11
17,Salida en corto,2013-06-07 14:15,Exit,1383.44,65.9,92668.58,1499.88,1.62,1499.88,1.62,-39.54,-0.04,1605.35,1.61
17,Entrada en corto,2013-06-07 13:45,Short,1406.2,65.9,92668.58,1499.88,1.62,1499.88,1.62,-39.54,-0.04,1605.35,1.61
18,Salida en corto,2013-06-12 15:45,Exit,1386.84,55.1,75912.923,-501.96,-0.66,646.32,0.85,-501.96,-0.66,1103.39,1.10
18,Entrada en corto,2013-06-11 08:15,Short,1377.73,55.1,75912.923,-501.96,-0.66,646.32,0.85,-501.96,-0.66,1103.39,1.10
19,Salida en corto,2013-06-13 20:30,Exit,1387.15,64.2,89066.586,11.56,0.01,823.69,0.92,-64.2,-0.07,1114.95,1.11
19,Entrada en corto,2013-06-13 08:30,Short,1387.33,64.2,89066.586,11.56,0.01,823.69,0.92,-64.2,-0.07,1114.95,1.11
20,Salida en corto,2013-06-21 18:00,Exit,1298.5,53.1,68453.334,-497.02,-0.73,73.28,0.11,-497.02,-0.73,617.93,0.62
20,Entrada en corto,2013-06-21 13:45,Short,1289.14,53.1,68453.334,-497.02,-0.73,73.28,0.11,-497.02,-0.73,617.93,0.62
21,Salida en corto,2013-06-26 02:15,Exit,1258.03,45.9,59243.589,1500.01,2.53,1500.01,2.53,-124.39,-0.21,2117.94,2.12
21,Entrada en corto,2013-06-24 03:15,Short,1290.71,45.9,59243.589,1500.01,2.53,1500.01,2.53,-124.39,-0.21,2117.94,2.12
22,Salida en largo,2013-07-02 12:45,Exit,1256.56,74.4,93477.648,10.42,0.01,817.66,0.87,-264.86,-0.28,2128.36,2.13
22,Entrada en largo,2013-07-02 01:30,Long,1256.42,74.4,93477.648,10.42,0.01,817.66,0.87,-264.86,-0.28,2128.36,2.13
23,Salida en largo,2013-07-04 09:15,Exit,1247.3,54.9,68976.909,-500.14,-0.73,80.15,0.12,-500.14,-0.73,1628.22,1.63
23,Entrada en largo,2013-07-04 00:15,Long,1256.41,54.9,68976.909,-500.14,-0.73,80.15,0.12,-500.14,-0.73,1628.22,1.63
24,Salida en corto,2013-08-07 16:15,Exit,1287.3,52.4,67456.092,1.57,0.00,756.66,1.12,-230.04,-0.34,1629.79,1.63
24,Entrada en corto,2013-08-06 13:15,Short,1287.33,52.4,67456.092,1.57,0.00,756.66,1.12,-230.04,-0.34,1629.79,1.63
25,Salida en largo,2013-08-12 14:00,Exit,1338.37,60,78801,1501.2,1.91,1501.2,1.91,-360,-0.46,3130.99,3.13
25,Entrada en largo,2013-08-09 11:15,Long,1313.35,60,78801,1501.2,1.91,1501.2,1.91,-360,-0.46,3130.99,3.13
26,Salida en largo,2013-08-13 11:15,Exit,1330.44,74.5,99624.38,-506.6,-0.51,312.15,0.31,-506.6,-0.51,2624.39,2.62
26,Entrada en largo,2013-08-13 07:45,Long,1337.24,74.5,99624.38,-506.6,-0.51,312.15,0.31,-506.6,-0.51,2624.39,2.62
27,Salida en largo,2013-08-15 13:30,Exit,1325.74,72.1,95584.412,1.44,0.00,1492.47,1.56,-473.7,-0.50,2625.83,2.63
27,Entrada en largo,2013-08-14 10:15,Long,1325.72,72.1,95584.412,1.44,0.00,1492.47,1.56,-473.7,-0.50,2625.83,2.63
28,Salida en largo,2013-08-27 13:00,Exit,1417.55,34.2,46982.25,1497.96,3.19,1497.96,3.19,-307.46,-0.65,4123.79,4.12
28,Entrada en largo,2013-08-22 09:15,Long,1373.75,34.2,46982.25,1497.96,3.19,1497.96,3.19,-307.46,-0.65,4123.79,4.12
29,Salida en corto,2013-09-03 14:15,Exit,1403.08,24.2,33456.258,-498.28,-1.49,86.15,0.26,-498.28,-1.49,3625.51,3.63
29,Entrada en corto,2013-09-02 00:15,Short,1382.49,24.2,33456.258,-498.28,-1.49,86.15,0.26,-498.28,-1.49,3625.51,3.63
30,Salida en corto,2013-09-11 03:30,Exit,1366.59,58.7,79717.535,-501.3,-0.63,22.89,0.03,-501.3,-0.63,3124.22,3.12
30,Entrada en corto,2013-09-11 02:30,Short,1358.05,58.7,79717.535,-501.3,-0.63,22.89,0.03,-501.3,-0.63,3124.22,3.12
31,Salida en corto,2013-09-12 09:45,Exit,1338.7,68.2,92798.376,1499.04,1.62,1499.04,1.62,-359.41,-0.39,4623.25,4.62
31,Entrada en corto,2013-09-11 11:45,Short,1360.68,68.2,92798.376,1499.04,1.62,1499.04,1.62,-359.41,-0.39,4623.25,4.62
